"treatment"	"plateID"	"dose_uM"	"timeID"	"locationID"	"cell_line"	"variable"	"value"
"DMSO"	"20200220_Exp006_MT_t24"	0	"12"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.25726004717362
"DMSO"	"20200220_Exp006_MT_t24"	0	"13"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.20791546317664
"DMSO"	"20200220_Exp006_MT_t24"	0	"14"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.19650443800558
"DMSO"	"20200220_Exp006_MT_t24"	0	"15"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.14085778148125
"DMSO"	"20200220_Exp006_MT_t24"	0	"16"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.06012199400955
"DMSO"	"20200220_Exp006_MT_t24"	0	"17"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.04330107822252
"DMSO"	"20200220_Exp006_MT_t24"	0	"18"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.11666364957465
"DMSO"	"20200220_Exp006_MT_t24"	0	"19"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.99785613702019
"DMSO"	"20200220_Exp006_MT_t24"	0	"20"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.01346099374839
"DMSO"	"20200220_Exp006_MT_t24"	0	"21"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.06030589126879
"DMSO"	"20200220_Exp006_MT_t24"	0	"22"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.03939165178501
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.09264881390174
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B04_2"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.04705802037989
