"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"7"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.737039672733859
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"8"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.643306325511782
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"9"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.915620232399434
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"10"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.743954743858666
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"11"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.938668865276098
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"12"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.787278672885031
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"13"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.934497379512969
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"14"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.968529413275147
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"15"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.742916841219095
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"16"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.0248368294236
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"17"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.83278338916626
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"18"	"GREB1-GFP_siESR1"	"B03_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.761436453170928
